"","Date","Open","High","Low","Close","Volume","Market.Cap","btc_market_price","btc_total_bitcoins","btc_market_cap","btc_trade_volume","btc_blocks_size","btc_avg_block_size","btc_n_orphaned_blocks","btc_n_transactions_per_block","btc_median_confirmation_time","btc_hash_rate","btc_difficulty","btc_miners_revenue","btc_transaction_fees","btc_cost_per_transaction_percent","btc_cost_per_transaction","btc_n_unique_addresses","btc_n_transactions","btc_n_transactions_total","btc_n_transactions_excluding_popular","btc_n_transactions_excluding_chains_longer_than_100","btc_output_volume","btc_estimated_transaction_volume","btc_estimated_transaction_volume_usd","Quarter","Year","price","hash_rate","diff","trans"
"14",2013-05-11,117.7,118.68,113.01,115.24,"-","1,311,050,000",115.4,11142225,1285812765,4114061.0856,7538,0.192913994286,0,417,6.83333333333,87.6566663178,10076292.8834,512145.2,63.69813949,2.12766716318,7.27375656867,67240,70410,17613930,21238,23912,706784.944378,208585,24070739,2,2013,115.4,87.6566663178,10076292.8834,70410
"15",2013-05-12,115.64,117.45,113.44,115,"-","1,288,630,000",114.32,11146675,1274287886,3081213.9625,7570,0.181253988764,0,378,6.81666666667,89.1593520261,10076292.8834,515468.88,59.03344042,2.11273362929,7.43607732256,61435,69320,17683250,19684,22304,613817.456838,213420,24398195,2,2013,114.32,89.1593520261,10076292.8834,69320
"16",2013-05-13,114.82,118.7,114.5,117.98,"-","1,279,980,000",117.50298,11151175,1310296293,3968798.3286,7599,0.164610788889,0,353,6.61666666667,100.101885268,11187257.4614,535813.5888,60.08625448,1.73008536575,8.61575154848,65440,62190,17745440,23179,26175,995953.369658,263571,30970356,2,2013,117.50298,100.101885268,11187257.4614,62190
"17",2013-05-14,117.98,119.8,110.25,111.5,"-","1,315,720,000",119,11154850,1327427150,12283271.0667,7628,0.201062353741,0,305,8.75,81.7498729686,11187257.4614,443751,54.66430818,1.87437801071,7.01172436677,68323,63287,17808727,26812,28026,778189.97234,198946,23674574,2,2013,119,81.7498729686,11187257.4614,63287
"18",2013-05-15,111.4,115.81,103.5,114.22,"-","1,242,760,000",114.98499,11158525,1283062885.54,15504137.656,7659,0.212222204082,0,362,7.76666666667,81.7498729686,11187257.4614,428204.10276,49.64959569,1.29512526771,6.44778881149,70212,66411,17875138,28149,29067,825250.573498,287540,33062756,2,2013,114.98499,81.7498729686,11187257.4614,66411
"19",2013-05-16,114.22,118.76,112.2,118.76,"-","1,274,620,000",115.09024,11162150,1284654522.42,6501368.4656,7689,0.209041110345,0,366,7.88333333333,80.6376297989,11187257.4614,423762.26368,57.87351884,1.7106373307,6.99936018499,67246,60543,17935681,26773,26163,708868.277621,215241,24772186,2,2013,115.09024,80.6376297989,11187257.4614,60543
"20",2013-05-17,118.21,125.3,116.57,123.02,"-","1,319,590,000",124.49,11166175,1390077125.75,11635707.49,7718,0.180884925466,0,325,7.55,89.5355751561,11187257.4614,512027.37,88.4985171,2.29586530081,8.40822664871,64560,60896,17996577,26882,27892,751659.735726,179148,22302152,2,2013,124.49,89.5355751561,11187257.4614,60896
"21",2013-05-18,123.5,125.25,122.3,123.5,"-","1,379,140,000",123.74995,11169850,1382268379.01,3592511.0812,7742,0.166721190476,0,340,8.19166666667,81.7498729686,11187257.4614,459607.3143,39.44980994,1.72426430539,8.84166277365,55716,51982,18048559,22985,25000,890106.519811,215396,26655270,2,2013,123.74995,81.7498729686,11187257.4614,51982
"22",2013-05-19,123.21,124.5,119.57,121.99,"-","1,376,370,000",121.05628,11173700,1352646555.84,3417224.632,7764,0.144291915584,0,340,8.73333333333,85.6427240623,11187257.4614,471151.04176,42.20084266,3.37578952281,10.0053311055,51111,47090,18095649,19778,21389,465511.572902,115292,13956766,2,2013,121.05628,85.6427240623,11187257.4614,47090
"23",2013-05-20,122.5,123.62,120.12,122,"-","1,368,910,000",122.65001,11177150,1370877559.27,2925957.2895,7786,0.166632369565,0,324,8.88333333333,76.7447787052,11187257.4614,429152.38499,49.07464086,2.91455355728,8.56711286986,56966,50093,18145742,22790,24621,469681.090151,120053,14724464,2,2013,122.65001,76.7447787052,11187257.4614,50093
